学部番号,学部,学科,学科2,第二段階指定1科類,第二段階指定1枠数,指定1残席,指定1底点,指定1点数,指定1学籍番号,第二段階指定2科類,第二段階指定2枠数,指定2残席,指定2底点,指定2点数,指定2学籍番号,第二段階指定3科類,第二段階指定3枠数,指定3残席,指定3底点,指定3点数,指定3学籍番号,第二段階指定4科類,第二段階指定4枠数,指定4残席,指定4底点,指定4点数,指定4学籍番号
0,降年,降年,降年,123456,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,法学部,法学部,法学部,1,118,0,0,0,0,23,2,0,0,0,0,456,2,0,0,0,0,123456,0,0,0,0,0
2,経済学部,経済学部,経済学部,2,81,0,0,0,0,456,3,0,0,0,0,0,0,0,0,0,0,123456,18,0,0,0,0
3,文学部 ,人文学科,A群（思想文化）,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,12,0,0,0,0
4,文学部 ,人文学科,B群（歴史文化_日本史学）,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,4,0,0,0,0
5,文学部 ,人文学科,C群（歴史文化_東洋史学）,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,3,0,0,0,0
6,文学部 ,人文学科,D群（歴史文化_西洋史学）,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,4,0,0,0,0
7,文学部 ,人文学科,E群（歴史文化_考古学）,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,1,0,0,0,0
8,文学部 ,人文学科,F群（歴史文化_美術史学）,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,2,0,0,0,0
9,文学部 ,人文学科,G群（言語文化）,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,15,0,0,0,0
10,文学部 ,人文学科,H群（心理学）,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,4,0,0,0,0
11,文学部 ,人文学科,I群（社会心理学）,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,3,0,0,0,0
12,文学部 ,人文学科,J群（社会学）,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,6,0,0,0,0
13,教育学部,総合教育科学,基礎教育学,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,3,0,0,0,0
14,教育学部,総合教育科学,比較教育社会学,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,2,0,0,0,0
15,教育学部,総合教育科学,教育実践・政策学,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,4,0,0,0,0
16,教育学部,総合教育科学,教育心理学,3,4,0,0,0,0,456,2,0,0,0,0,0,0,0,0,0,0,123456,1,0,0,0,0
17,教育学部,総合教育科学,身体教育学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,5,0,0,0,0
18,薬学部,薬学部,薬学部,456,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,2,0,0,0,0
19,医学部,医学,医学,6,32,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,123456,1,0,0,0,0
20,医学部,健康総合科学,健康総合科学,456,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,4,0,0,0,0
21,教養,教養学科,超域文化科学,12,2,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,123456,1,0,0,0,0
22,教養,教養学科,地域文化研究,12,5,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,123456,2,0,0,0,0
23,教養,教養学科,総合社会科学,12,8,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,123456,1,0,0,0,0
24,教養,教養学科,数理自然科学,456,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0
25,教養,教養学科,物質基礎科学,456,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0
26,教養,教養学科,統合生命科学,456,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,1,0,0,0,0
27,教養,教養学科,認知行動科学,456,1,0,0,0,0,123,1,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0
28,教養,際科学科,Ａ　　群,456,1,0,0,0,0,123,4,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0
29,教養,際科学科,Ｂ　　群,456,3,0,0,0,0,123,1,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0
30,教養,PEAK,教養学科国際日本研究コース,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,5,0,0,0,0
31,教養,PEAK,学際科学科国際環境学コース,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,5,0,0,0,0
32,農学部,応用生命科学,生命化学・工学,456,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0
33,農学部,応用生命科学,応用生物学,456,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0
34,農学部,応用生命科学,森林生物科学,456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,3,0,0,0,0
35,農学部,応用生命科学,水圏生物科学,456,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0
36,農学部,応用生命科学,動物生命システム科学,456,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0
37,農学部,応用生命科学,生物素材化学,456,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0
38,農学部,環境資源科学,緑地環境学,456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,1,0,0,0,0
39,農学部,環境資源科学,森林環境資源科学,456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,5,0,0,0,0
40,農学部,環境資源科学,木質構造科学,456,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0
41,農学部,環境資源科学,生物・環境工学,456,18,0,0,0,0,123,1,0,0,0,0,0,0,0,0,0,0,123456,2,0,0,0,0
42,農学部,環境資源科学,農業・資源経済学,456,7,0,0,0,0,123,5,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0
43,農学部,環境資源科学,フィールド科学,456,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0
44,農学部,環境資源科学,国際開発農学,456,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,4,0,0,0,0
45,農学部,獣医学課程獣医学,獣医学課程獣医学,456,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0
46,工学部,社会基盤学Ａ（設計・技術戦略）,社会基盤学Ａ（設計・技術戦略）,4,7,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0
47,工学部,社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,4,6,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0
48,工学部,社会基盤学Ｃ（国際プロジェクト）,社会基盤学Ｃ（国際プロジェクト）,4,3,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0
49,工学部,建築学,建築学,4,15,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,2,0,0,0,0
50,工学部,都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,4,4,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,2,0,0,0,0
51,工学部,都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,4,12,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0
52,工学部,機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,4,31,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0
53,工学部,機械工学B,機械工学B,4,13,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0
54,工学部,航空宇宙学,航空宇宙学,4,18,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0
55,工学部,精密工学,精密工学,4,11,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,3,0,0,0,0
56,工学部,電子情報工学,電子情報工学,4,14,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,8,0,0,0,0
57,工学部,電気電子工学,電気電子工学,4,24,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0
58,工学部,応用物理・物理工学,応用物理・物理工学,4,12,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,5,0,0,0,0
60,工学部,計数工学・数理/ｼｽﾃﾑ情報,計数工学・数理/ｼｽﾃﾑ情報,4,18,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,3,0,0,0,0
61,工学部,マテリアル工学A,マテリアル工学A,4,6,0,0,0,0,56,2,0,0,0,0,0,0,0,0,0,0,123456,2,0,0,0,0
62,工学部,マテリアル工学B,マテリアル工学B,4,7,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0
63,工学部,マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,4,11,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0
64,工学部,応用化学,応用化学,4,14,0,0,0,0,56,4,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0
65,工学部,化学システム工学,化学システム工学,4,23,0,0,0,0,56,4,0,0,0,0,0,0,0,0,0,0,123456,3,0,0,0,0
66,工学部,化学生命工学,化学生命工学,4,10,0,0,0,0,56,7,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0
